COMID,CatAreaSqKm,CatPctFull,WsAreaSqKm,WsPctFull,RdCrsCat,RdCrsWs
8673401,2.8116,100,2.8116,100,0.0,0.0
8673403,1.3617,100,1.3617,100,0.0,0.0
8673405,1.2303,100,5.0841,100,0.0,0.196691646505773
8673407,1.8054,100,60.4539,100,0.0,0.38045518982232707
8673409,2.3589,100,2.3589,100,0.0,0.0
8673411,1.1916,100,1.1916,100,0.0,0.0
8673413,5.3361,100,7.6617,100,0.187402784805382,0.130519336439694
8673415,0.7559999999999999,100,7.4475,100,0.0,0.0
8673417,0.7731,100,0.7731,100,0.0,0.0
8673419,1.4508,100,1.4508,100,0.0,0.0
8673421,0.8172,100,0.8172,100,1.22369065100343,1.22369065100343
8673423,1.0422,100,20.8449,100,0.0,0.383786921501183
8673425,1.1313,100,715.7331,100,0.0,0.456874217498115
8673561,0.9792,100,6.0273,100,0.0,0.497735304365139
8673563,1.89,100,673.1163,100,0.529100529100529,0.47391513175360606
8673565,3.1653,100,1408.4928,100,0.947777461851957,0.5374539365767439
8673567,1.7442,100,1.7442,100,0.57332874670336,0.57332874670336
8673569,0.6777,100,4.572,100,5.90231665928877,1.31233595800525
8673571,3.24,100,3.24,100,0.6172839506172839,0.6172839506172839
8673743,0.6363,100,4886.2458,100,0.0,0.43550817685021104
8673753,1.2285,100,4879.3266,100,0.0,0.43551091660886204
8673755,0.009000000000000001,100,178.6707,100,0.0,0.285441317462796
8673757,0.315,100,4699.4274,100,0.0,0.44133036292889605
8673761,1.2267,100,4684.5945,100,0.0,0.441660425464787
8673773,6.0966,100,4597.9272,100,0.164025850474035,0.445200611266746
8673775,0.0036,100,109.3347,100,0.0,0.448165129643197
8673777,0.0036,100,2.259,100,0.0,0.0
8673779,0.3339,100,4589.5716,100,0.0,0.44579324135612103
8673781,0.7559999999999999,100,4587.7464,100,0.0,0.445534652918043
8673783,0.0045,100,1.4913,100,0.0,1.341111781667
8673785,1.0323,100,2.9313,100,0.0,0.0
8673787,0.1026,100,0.5328,100,0.0,0.0
8673789,0.0036,100,4.5756,100,0.0,1.311303435615
8673791,1.8027,100,1410.2955,100,0.554723470350031,0.5374760112331071
8673793,0.0189,100,3.2589,100,0.0,0.613704010555709
8673795,0.207,100,1415.0781,100,0.0,0.539899529220331
8673797,7.0893,100,4477.6557,100,0.0,0.445545645682405
8673799,1.143,100,1419.48,100,0.8748906386701658,0.540338715585989
8673801,0.0045,100,5.3793,100,0.0,1.30128455375235
8673803,0.1503,100,1425.0096,100,0.0,0.543154235592518
8673805,0.0036,100,5.6142,100,0.0,1.24683837412276
8673807,0.0639,100,1425.3165,100,0.0,0.5430372832981311
8673949,0.2214,100,0.2214,100,0.0,0.0
8673957,0.1548,100,0.1548,100,0.0,0.0
8673961,0.0648,100,0.0648,100,0.0,0.0
8673965,1.2087,100,1.2087,100,0.0,0.0
8673967,0.6471,100,0.6471,100,0.0,0.0
8673969,0.2664,100,0.2664,100,0.0,0.0
8673971,0.4212,100,0.4212,100,0.0,0.0
8673975,0.603,100,0.603,100,0.0,0.0
8673977,1.1808,100,1.1808,100,0.0,0.0
8673979,0.8334,100,0.8334,100,0.0,0.0
8673981,0.0009,100,13.1589,100,0.0,0.379970970217875
8673983,0.4167,100,4698.1701,100,0.0,0.44144846947963795
8673995,6.3603,100,4668.1326,100,0.0,0.4423610417578971
8674001,2.2104,100,4610.4804,100,0.0,0.445289822726499
8675175,7.0146,100,7.9119,100,0.57023921535084,0.5055675627851721
8675189,1.4058,100,2.5209,100,1.4226774790155101,0.793367448133603
8675195,11.4201,100,12.4083,100,0.6129543524137271,0.56413852018407
8675197,1.7496,100,72.7551,100,0.571559213534522,0.7284712686808209
8675199,7.6185,100,9.783,100,0.393778302815515,0.30665440049064696
8675201,3.9609,100,370.7775,100,0.0,0.488163386397503
8675203,4.4712,100,5.4315,100,0.44730721059223494,0.36822240633342496
8675205,2.9709,100,11.0286,100,0.0,0.362693360898029
8675207,1.8090000000000002,100,176.5449,100,0.552791597567717,0.498456766522284
8675209,1.2735,100,1.2735,100,0.0,0.0
8675211,0.8145,100,1.584,100,0.0,1.26262626262626
8675213,0.43200000000000005,100,1.7649,100,0.0,0.0
8675215,2.8701,100,3.8988,100,1.04525974704714,0.7694675284702991
8675217,1.0791,100,1.0791,100,0.9266981744045959,0.9266981744045959
8675219,5.6358,100,52.4808,100,0.177437098548565,0.266764226155089
8675221,2.4138,100,2.4138,100,0.41428453061562703,0.41428453061562703
8675223,6.3054,100,9.5076,100,0.31718844165318605,0.525895073414952
8675225,0.8883,100,83.4264,100,0.0,0.671250347611787
8675227,6.0012,100,22.1175,100,0.166633339998667,0.316491466033684
8675229,3.2022,100,3.2022,100,0.9368559115608021,0.9368559115608021
8675231,3.6972,100,44.3763,100,0.270474954019258,0.270414613205698
8675233,0.1377,100,18.5616,100,0.0,0.215498663908284
8675235,8.6238,100,25.0839,100,0.34787448688513206,0.35879588102328597
8675237,1.3302,100,1.3302,100,0.0,0.0
8675239,1.0665,100,15.7311,100,0.93764650726676,0.190705036520014
8675241,8.8011,100,186.4251,100,0.113622160866255,0.48276761015549896
8675243,1.8882,100,3.2184,100,0.0,0.0
8675245,6.0516,100,12.2175,100,0.330491109789147,0.245549416820135
8675247,0.8271,100,9.5364,100,0.0,0.419445493058177
8675249,3.1104,100,4.7682,100,0.32150205761316897,0.20972274652908898
8675251,1.53,100,1.53,100,0.0,0.0
8675253,6.0876,100,9.4365,100,0.164268348774558,0.31791448100461
8675255,1.5363,100,1.5363,100,0.0,0.0
8675257,2.4687,100,2.4687,100,0.40507149511888796,0.40507149511888796
8675259,2.9475,100,2.9475,100,0.33927056827820196,0.33927056827820196
8675261,2.2113,100,2.6928,100,0.452222674444897,0.371360665478313
8675263,1.3725,100,1.3725,100,0.7285974499089249,0.7285974499089249
8675265,1.8387,100,1.8387,100,0.0,0.0
8675267,12.7341,100,282.5856,100,0.0785293032094926,0.520196358200843
8675269,0.4815,100,0.4815,100,0.0,0.0
8675271,14.6889,100,27.063000000000002,100,0.0680786171871277,0.0739016369212578
